Site_ID,Name,Elev_m,Catchment,First,Last,N_years,Mean24h_mm,Max24h_mm
FL655789AF,Jabal Abyadh East,1690,Dayqah,1994,2010,13,108.2,625.2
FL658970AF,Jabal Al Aswad,0,-,2024,2024,1,139.0,139.0
FL669998AF,Sarin near Habubiyah,445,Mayh,2016,2019,4,58.4,136.6
FL672275AF,Buei near Buei,450,Majlas,1998,2019,20,53.3,379.2
FL762629AF,Siya at Siya,371,Mayh,2016,2023,7,31.3,75.0
FL771702AF,Taba at Taba,310,Majlas,2000,2021,21,57.5,517.6
FL788017AF,Hayfadh at Hayfadh,230,Majlas,2000,2023,22,51.8,620.6
FL974085AF,Qurayat at Qurayat,20,Dayqah,2004,2023,19,46.9,229.2
FM865337AF,Abayah near Misfah,623,Mayh,2016,2022,6,45.7,101.4
