Duration,t_CV_reg,t3_reg,H1,Homogeneity,max_Di,any_discordant(Di>3)
5min,0.381,0.208,2.36,Heterogeneous,1.33,False
10min,0.381,0.208,2.36,Heterogeneous,1.33,False
30min,0.381,0.203,0.84,Homogeneous,1.33,False
1hr,0.394,0.232,0.25,Homogeneous,1.31,False
3hr,0.472,0.451,-0.47,Homogeneous,1.33,False
6hr,0.556,0.596,-0.97,Homogeneous,1.32,False
12hr,0.638,0.693,-1.38,Homogeneous,1.28,False
24hr,0.665,0.697,-1.6,Homogeneous,1.31,False
48hr,0.654,0.671,-1.63,Homogeneous,1.33,False
72hr,0.648,0.655,-1.64,Homogeneous,1.33,False
96hr,0.647,0.649,-1.62,Homogeneous,1.33,False
