Station,Duration,N,Mean,L_CV,L_Skew,L_Kurt
Jabal Abyadh East,5min,13,5.8,0.219,-0.22,0.108
Jabal Abyadh East,10min,13,11.6,0.219,-0.22,0.108
Jabal Abyadh East,30min,13,21.0,0.288,0.095,0.274
Jabal Abyadh East,1hr,13,29.5,0.344,0.201,0.316
Jabal Abyadh East,3hr,13,46.2,0.485,0.486,0.48
Jabal Abyadh East,6hr,13,69.5,0.584,0.582,0.538
Jabal Abyadh East,12hr,13,90.9,0.643,0.647,0.594
Jabal Abyadh East,24hr,13,111.1,0.639,0.602,0.516
Jabal Abyadh East,48hr,13,116.7,0.629,0.579,0.483
Jabal Abyadh East,72hr,13,120.4,0.61,0.56,0.483
Jabal Abyadh East,96hr,13,124.0,0.605,0.536,0.442
Buei near Buei,5min,18,4.9,0.466,0.38,0.325
Buei near Buei,10min,18,9.7,0.466,0.38,0.325
Buei near Buei,30min,18,15.6,0.385,0.155,0.126
Buei near Buei,1hr,18,18.3,0.376,0.157,0.133
Buei near Buei,3hr,18,25.6,0.471,0.438,0.422
Buei near Buei,6hr,18,32.3,0.549,0.566,0.535
Buei near Buei,12hr,18,44.5,0.638,0.683,0.614
Buei near Buei,24hr,18,56.2,0.673,0.687,0.569
Buei near Buei,48hr,18,62.0,0.654,0.641,0.511
Buei near Buei,72hr,18,64.3,0.655,0.624,0.47
Buei near Buei,96hr,18,64.6,0.655,0.624,0.467
Taba at Taba,5min,18,4.7,0.31,0.175,0.214
Taba at Taba,10min,18,9.4,0.31,0.175,0.214
Taba at Taba,30min,18,17.0,0.345,0.114,0.043
Taba at Taba,1hr,18,21.0,0.38,0.197,0.126
Taba at Taba,3hr,18,29.4,0.48,0.473,0.47
Taba at Taba,6hr,18,39.8,0.571,0.615,0.586
Taba at Taba,12hr,18,53.2,0.661,0.716,0.659
Taba at Taba,24hr,18,64.9,0.681,0.728,0.652
Taba at Taba,48hr,18,70.8,0.681,0.711,0.609
Taba at Taba,72hr,18,72.7,0.675,0.692,0.581
Taba at Taba,96hr,18,73.1,0.674,0.688,0.574
Hayfadh at Hayfadh,5min,17,5.2,0.546,0.654,0.629
Hayfadh at Hayfadh,10min,17,10.3,0.546,0.654,0.629
Hayfadh at Hayfadh,30min,17,18.0,0.526,0.585,0.51
Hayfadh at Hayfadh,1hr,17,23.2,0.522,0.533,0.392
Hayfadh at Hayfadh,3hr,17,31.8,0.561,0.607,0.503
Hayfadh at Hayfadh,6hr,17,44.8,0.63,0.712,0.639
Hayfadh at Hayfadh,12hr,17,56.8,0.7,0.79,0.737
Hayfadh at Hayfadh,24hr,17,65.2,0.724,0.814,0.752
Hayfadh at Hayfadh,48hr,17,68.8,0.707,0.78,0.712
Hayfadh at Hayfadh,72hr,17,71.0,0.696,0.759,0.685
Hayfadh at Hayfadh,96hr,17,71.4,0.696,0.755,0.677
Qurayat at Qurayat,5min,15,3.9,0.32,-0.092,-0.076
Qurayat at Qurayat,10min,15,7.8,0.32,-0.092,-0.076
Qurayat at Qurayat,30min,15,15.2,0.337,0.027,-0.01
Qurayat at Qurayat,1hr,15,18.1,0.33,0.051,-0.03
Qurayat at Qurayat,3hr,15,23.5,0.35,0.231,0.2
Qurayat at Qurayat,6hr,15,30.2,0.439,0.489,0.418
Qurayat at Qurayat,12hr,15,38.7,0.536,0.605,0.486
Qurayat at Qurayat,24hr,15,51.5,0.59,0.62,0.467
Qurayat at Qurayat,48hr,15,53.9,0.586,0.618,0.473
Qurayat at Qurayat,72hr,15,54.8,0.587,0.612,0.457
Qurayat at Qurayat,96hr,15,55.3,0.586,0.607,0.449
