duration_min,index_mm,kappa,2yr_depth_mm,5yr_depth_mm,10yr_depth_mm,25yr_depth_mm,50yr_depth_mm,100yr_depth_mm,200yr_depth_mm,500yr_depth_mm,1000yr_depth_mm,2000yr_depth_mm,5000yr_depth_mm,10000yr_depth_mm,2yr_int_mmhr,5yr_int_mmhr,10yr_int_mmhr,25yr_int_mmhr,50yr_int_mmhr,100yr_int_mmhr,200yr_int_mmhr,500yr_int_mmhr,1000yr_int_mmhr,2000yr_int_mmhr,5000yr_int_mmhr,10000yr_int_mmhr
5,4.9,0.0,4.3,7.4,9.4,12.0,13.9,15.8,17.7,20.1,22.0,23.9,26.4,28.3,51.51,88.39,112.81,143.67,166.56,189.28,211.92,241.79,264.36,286.92,316.75,339.3
10,9.7,0.0,8.6,14.7,18.8,23.9,27.8,31.5,35.3,40.3,44.1,47.8,52.8,56.6,51.51,88.39,112.81,143.67,166.56,189.28,211.92,241.79,264.36,286.92,316.75,339.3
30,17.0,0.0,15.1,25.6,32.5,41.3,47.8,54.3,60.7,69.2,75.7,82.1,90.6,97.0,30.17,51.16,65.06,82.62,95.64,108.58,121.46,138.46,151.3,164.14,181.12,193.95
60,21.0,0.0,18.6,31.8,40.6,51.7,59.9,68.1,76.2,86.9,95.0,103.1,113.9,122.0,18.56,31.82,40.59,51.67,59.9,68.06,76.19,86.93,95.04,103.14,113.86,121.96
180,29.4,0.0,25.3,47.4,62.0,80.5,94.2,107.8,121.4,139.2,152.8,166.3,184.1,197.6,8.44,15.8,20.67,26.83,31.4,35.93,40.45,46.41,50.92,55.42,61.37,65.87
360,39.8,0.0,33.3,68.3,91.5,120.8,142.5,164.1,185.6,214.0,235.4,256.9,285.2,306.6,5.54,11.38,15.25,20.13,23.76,27.35,30.94,35.66,39.24,42.81,47.53,51.1
720,53.2,0.0,43.2,96.9,132.5,177.4,210.7,243.7,276.7,320.1,353.0,385.8,429.2,462.1,3.6,8.08,11.04,14.78,17.56,20.31,23.06,26.68,29.42,32.15,35.77,38.5
1440,64.9,0.0,52.2,120.4,165.6,222.6,264.9,306.9,348.8,404.0,445.7,487.5,542.6,584.3,2.18,5.02,6.9,9.28,11.04,12.79,14.53,16.83,18.57,20.31,22.61,24.35
2880,68.8,0.0,55.6,126.7,173.7,233.1,277.2,321.0,364.6,422.2,465.6,509.1,566.6,610.0,1.16,2.64,3.62,4.86,5.78,6.69,7.6,8.8,9.7,10.61,11.8,12.71
4320,71.0,0.0,57.5,130.1,178.2,238.9,283.9,328.7,373.2,432.0,476.4,520.9,579.6,624.0,0.8,1.81,2.47,3.32,3.94,4.56,5.18,6.0,6.62,7.23,8.05,8.67
5760,71.4,0.0,57.9,130.9,179.2,240.2,285.5,330.5,375.3,434.4,479.1,523.7,582.7,627.4,0.6,1.36,1.87,2.5,2.97,3.44,3.91,4.53,4.99,5.46,6.07,6.54
