duration_min,duration_label,index_mm,2yr_mm,5yr_mm,10yr_mm,25yr_mm,50yr_mm,100yr_mm,200yr_mm,500yr_mm,1000yr_mm,2000yr_mm,5000yr_mm,10000yr_mm
10,10min,9.14,4.0,9.9,16.9,32.1,50.9,79.7,124.3,222.4,344.5,533.2,948.6,1466.2
20,20min,13.42,5.9,14.6,24.9,47.1,74.7,117.1,182.5,326.4,505.7,782.6,1392.5,2152.3
30,30min,16.58,7.3,18.0,30.7,58.2,92.2,144.6,225.4,403.3,624.8,966.9,1720.4,2659.1
60,1h,21.17,9.3,23.0,39.2,74.3,117.8,184.6,287.8,514.9,797.7,1234.5,2196.5,3394.9
120,2h,25.85,11.4,28.1,47.9,90.8,143.8,225.5,351.5,628.8,974.1,1507.5,2682.2,4145.7
180,3h,29.81,13.1,32.4,55.3,104.7,165.9,260.0,405.3,725.2,1123.5,1738.6,3093.5,4781.3
360,6h,40.75,17.9,44.3,75.6,143.1,226.7,355.5,554.2,991.4,1535.9,2376.9,4229.2,6536.7
720,12h,52.86,23.2,57.5,98.0,185.7,294.1,461.2,718.8,1286.0,1992.4,3083.2,5486.0,8479.2
1440,24h,63.54,27.9,69.1,117.8,223.2,353.5,554.3,864.0,1545.7,2394.7,3705.8,6593.8,10191.5
